2-THETA,INTENSITY,
38.9,1216,
38.95,1164,
39,1177,
39.05,1268,
39.1,1216,
39.15,1268,
39.2,1294,
39.25,1423,
39.3,1501,
39.35,1527,
39.4,1514,
39.45,1514,
39.5,1423,
39.55,1358,
39.6,1384,
39.65,1436,
39.7,1475,
39.75,1527,
39.8,1488,
39.85,1527,
39.9,1488,
39.95,1410,
40,1539,
40.05,1552,
40.1,1501,
40.15,1475,
40.2,1527,
40.25,1578,
40.3,1488,
40.35,1669,
40.4,1695,
40.45,1953,
40.5,2070,
40.55,2186,
40.6,2523,
40.65,2768,
40.7,2962,
40.75,2950,
40.8,2898,
40.85,2704,
40.9,2600,
40.95,2549,
41,2561,
41.05,2510,
41.1,2652,
41.15,3131,
41.2,3700,
41.25,4424,
41.3,5239,
41.35,6132,
41.4,6662,
41.45,7141,
41.5,6714,
41.55,6352,
41.6,5563,
41.65,4994,
41.7,4437,
41.75,3881,
41.8,3364,
41.85,3195,
41.9,2872,
41.95,2781,
42,2549,
42.05,2574,
42.1,2549,
42.15,2626,
42.2,2652,
42.25,2587,
42.3,2574,
42.35,2691,
42.4,2406,
42.45,2342,
42.5,2096,
42.55,1966,
42.6,1863,
42.65,1798,
42.7,1695,
42.75,1708,
42.8,1643,
42.85,1527,
42.9,1514,
42.95,1410,
43,1358,
43.05,1345,
43.1,1358,
43.15,1307,
43.2,1268,
43.25,1332,
43.3,1345,
43.35,1332,
43.4,1281,
43.45,1436,
43.5,1345,
43.55,1332,
43.6,1294,
43.65,1358,
43.7,1358,
43.75,1255,
43.8,1229,
43.85,1281,
43.9,1294,
43.95,1229,
44,1177,
44.05,1216,
44.1,1242,
44.15,1242,
44.2,1151,
44.25,1190,
44.3,1177,
44.35,1113,
44.4,1190,
44.45,1087,
44.5,1087,
44.55,1022,
44.6,1113,
44.65,1087,
44.7,1190,
44.75,1100,
44.8,1048,
44.85,1061,
44.9,1164,
44.95,1125,
45,1138,
45.05,1100,
45.1,1151,
45.15,1190,
45.2,1242,
45.25,1203,
45.3,1164,
45.35,1164,
45.4,1151,
45.45,1151,
45.5,1138,
45.55,1164,
45.6,1177,
45.65,1281,
45.7,1268,
45.75,1281,
45.8,1397,
45.85,1488,
45.9,1384,
45.95,1475,
46,1501,
46.05,1449,
46.1,1384,
46.15,1345,
46.2,1294,
46.25,1345,
46.3,1216,
46.35,1216,
46.4,1190,
46.45,1216,
46.5,1113,
46.55,1125,
46.6,1087,
46.65,1074,
46.7,1087,
46.75,1061,
46.8,1087,
46.85,1035,
46.9,1074,
46.95,1022,
47,1009,
47.05,1074,
47.1,983,
47.15,996,
47.2,1074,
47.25,1100,
47.3,1177,
47.35,1216,
47.4,1281,
47.45,1268,
47.5,1307,
47.55,1332,
47.6,1358,
47.65,1384,
47.7,1371,
47.75,1371,
47.8,1371,
47.85,1229,
47.9,1281,
47.95,1216,
48,1255,
48.05,1190,
48.1,1113,
48.15,1125,
48.2,1074,
48.25,1100,
48.3,1087,
48.35,1138,
